date,close
2025-11-01,188.23
2025-10-01,202.49
2025-09-01,186.58
2025-08-01,174.18
2025-07-01,177.87
2025-06-01,157.99
2025-05-01,135.13
2025-04-01,108.92
2025-03-01,108.38
2025-02-01,124.92
2025-01-01,120.07
2024-12-01,134.29
2024-11-01,138.25
2024-10-01,132.76
2024-09-01,121.44
2024-08-01,119.37
2024-07-01,117.02
2024-06-01,123.54
2024-05-01,109.63
2024-04-01,86.4
2024-03-01,90.36
2024-02-01,79.11
2024-01-01,61.53
2023-12-01,49.52
2023-11-01,46.77
2023-10-01,40.78
2023-09-01,43.5
2023-08-01,49.35
2023-07-01,46.73
2023-06-01,42.3
2023-05-01,37.83
2023-04-01,27.75
2023-03-01,27.78
2023-02-01,23.22
2023-01-01,19.54
2022-12-01,14.61
2022-11-01,16.92
2022-10-01,13.5
2022-09-01,12.14
2022-08-01,15.09
2022-07-01,18.16
2022-06-01,15.16
2022-05-01,18.67
2022-04-01,18.55
2022-03-01,27.29
2022-02-01,24.39
2022-01-01,24.49
2021-12-01,29.41
2021-11-01,32.68
2021-10-01,25.57
2021-09-01,20.72
2021-08-01,22.39
2021-07-01,19.5
2021-06-01,20.0
2021-05-01,16.24
2021-04-01,15.01
2021-03-01,13.35
2021-02-01,13.71
2021-01-01,12.99
2020-12-01,13.06
2020-11-01,13.4
2020-10-01,12.53
2020-09-01,13.53
2020-08-01,13.37
2020-07-01,10.61
2020-06-01,9.5
2020-05-01,8.88
2020-04-01,7.31
2020-03-01,6.59
2020-02-01,6.75
2020-01-01,5.91
2019-12-01,5.88
2019-11-01,5.42
2019-10-01,5.03
2019-09-01,4.35
2019-08-01,4.19
2019-07-01,4.22
2019-06-01,4.11
2019-05-01,3.39
2019-04-01,4.53
2019-03-01,4.49
2019-02-01,3.86
2019-01-01,3.59
2018-12-01,3.34
2018-11-01,4.09
2018-10-01,5.27
2018-09-01,7.03
2018-08-01,7.02
2018-07-01,6.12
2018-06-01,5.92
2018-05-01,6.3
2018-04-01,5.62
2018-03-01,5.79
2018-02-01,6.05
2018-01-01,6.14
2017-12-01,4.84
2017-11-01,5.02
2017-10-01,5.17
2017-09-01,4.47
2017-08-01,4.24
2017-07-01,4.06
2017-06-01,3.61
2017-05-01,3.61
2017-04-01,2.61
2017-03-01,2.72
2017-02-01,2.54
2017-01-01,2.73
2016-12-01,2.67
2016-11-01,2.31
2016-10-01,1.78
2016-09-01,1.71
2016-08-01,1.53
2016-07-01,1.43
2016-06-01,1.18
2016-05-01,1.17
2016-04-01,0.89
2016-03-01,0.89
2016-02-01,0.78
2016-01-01,0.73
2015-12-01,0.82
2015-11-01,0.79
2015-10-01,0.71
2015-09-01,0.62
