date,close
2025-11-01,429.52
2025-10-01,456.56
2025-09-01,444.72
2025-08-01,333.87
2025-07-01,308.27
2025-06-01,317.66
2025-05-01,346.46
2025-04-01,282.16
2025-03-01,259.16
2025-02-01,292.98
2025-01-01,404.6
2024-12-01,403.84
2024-11-01,345.16
2024-10-01,249.85
2024-09-01,261.63
2024-08-01,214.11
2024-07-01,232.07
2024-06-01,197.88
2024-05-01,178.08
2024-04-01,183.28
2024-03-01,175.79
2024-02-01,201.88
2024-01-01,187.29
2023-12-01,248.48
2023-11-01,240.08
2023-10-01,200.84
2023-09-01,250.22
2023-08-01,258.08
2023-07-01,267.43
2023-06-01,261.77
2023-05-01,203.93
2023-04-01,164.31
2023-03-01,207.46
2023-02-01,205.71
2023-01-01,173.22
2022-12-01,123.18
2022-11-01,194.7
2022-10-01,227.54
2022-09-01,265.25
2022-08-01,275.61
2022-07-01,297.15
2022-06-01,224.47
2022-05-01,252.75
2022-04-01,290.25
2022-03-01,359.2
2022-02-01,290.14
2022-01-01,312.24
2021-12-01,352.26
2021-11-01,381.59
2021-10-01,371.33
2021-09-01,258.49
2021-08-01,245.24
2021-07-01,229.07
2021-06-01,226.57
2021-05-01,208.41
2021-04-01,236.48
2021-03-01,222.64
2021-02-01,225.17
2021-01-01,264.51
2020-12-01,235.22
2020-11-01,189.2
2020-10-01,129.35
2020-09-01,143.0
2020-08-01,166.11
2020-07-01,95.38
2020-06-01,71.99
2020-05-01,55.67
2020-04-01,52.13
2020-03-01,34.93
2020-02-01,44.53
2020-01-01,43.37
2019-12-01,27.89
2019-11-01,22.0
2019-10-01,20.99
2019-09-01,16.06
2019-08-01,15.04
2019-07-01,16.11
2019-06-01,14.9
2019-05-01,12.34
2019-04-01,15.91
2019-03-01,18.66
2019-02-01,21.33
2019-01-01,20.47
2018-12-01,22.19
2018-11-01,23.37
2018-10-01,22.49
2018-09-01,17.65
2018-08-01,20.11
2018-07-01,19.88
2018-06-01,22.86
2018-05-01,18.98
2018-04-01,19.59
2018-03-01,17.74
2018-02-01,22.87
2018-01-01,23.62
2017-12-01,20.76
2017-11-01,20.59
2017-10-01,22.1
2017-09-01,22.74
2017-08-01,23.73
2017-07-01,21.56
2017-06-01,24.11
2017-05-01,22.73
2017-04-01,20.94
2017-03-01,18.55
2017-02-01,16.67
2017-01-01,16.8
2016-12-01,14.25
2016-11-01,12.63
2016-10-01,13.18
2016-09-01,13.6
2016-08-01,14.13
2016-07-01,15.65
2016-06-01,14.15
2016-05-01,14.88
2016-04-01,16.05
2016-03-01,15.32
2016-02-01,12.8
2016-01-01,12.75
2015-12-01,16.0
2015-11-01,15.35
2015-10-01,13.8
2015-09-01,16.56
2015-08-01,16.6
2015-07-01,17.74
2015-06-01,17.88
2015-05-01,16.72
2015-04-01,15.07
2015-03-01,12.58
2015-02-01,13.56
2015-01-01,13.57
2014-12-01,14.83
2014-11-01,16.3
2014-10-01,16.11
2014-09-01,16.18
2014-08-01,17.98
2014-07-01,14.89
2014-06-01,16.0
2014-05-01,13.85
2014-04-01,13.86
2014-03-01,13.9
2014-02-01,16.32
2014-01-01,12.09
2013-12-01,10.03
2013-11-01,8.49
2013-10-01,10.66
2013-09-01,12.89
2013-08-01,11.27
2013-07-01,8.95
2013-06-01,7.16
2013-05-01,6.52
2013-04-01,3.6
2013-03-01,2.53
2013-02-01,2.32
2013-01-01,2.5
2012-12-01,2.26
2012-11-01,2.25
2012-10-01,1.88
2012-09-01,1.95
2012-08-01,1.9
2012-07-01,1.83
2012-06-01,2.09
2012-05-01,1.97
2012-04-01,2.21
2012-03-01,2.48
2012-02-01,2.23
2012-01-01,1.94
2011-12-01,1.9
2011-11-01,2.18
2011-10-01,1.96
2011-09-01,1.63
2011-08-01,1.65
2011-07-01,1.88
2011-06-01,1.94
2011-05-01,2.01
2011-04-01,1.84
2011-03-01,1.85
2011-02-01,1.59
2011-01-01,1.61
2010-12-01,1.78
2010-11-01,2.36
2010-10-01,1.46
2010-09-01,1.36
2010-08-01,1.3
2010-07-01,1.33
