date,close
2025-11-01,268.57
2025-10-01,270.37
2025-09-01,254.63
2025-08-01,232.14
2025-07-01,207.57
2025-06-01,205.17
2025-05-01,200.85
2025-04-01,212.5
2025-03-01,222.13
2025-02-01,241.84
2025-01-01,236.0
2024-12-01,250.42
2024-11-01,237.33
2024-10-01,225.91
2024-09-01,233.0
2024-08-01,229.0
2024-07-01,222.08
2024-06-01,210.62
2024-05-01,192.25
2024-04-01,170.33
2024-03-01,171.48
2024-02-01,180.75
2024-01-01,184.4
2023-12-01,192.53
2023-11-01,189.95
2023-10-01,170.77
2023-09-01,171.21
2023-08-01,187.87
2023-07-01,196.45
2023-06-01,193.97
2023-05-01,177.25
2023-04-01,169.68
2023-03-01,164.9
2023-02-01,147.41
2023-01-01,144.29
2022-12-01,129.93
2022-11-01,148.03
2022-10-01,153.34
2022-09-01,138.2
2022-08-01,157.22
2022-07-01,162.51
2022-06-01,136.72
2022-05-01,148.84
2022-04-01,157.65
2022-03-01,174.61
2022-02-01,165.12
2022-01-01,174.78
2021-12-01,177.57
2021-11-01,165.3
2021-10-01,149.8
2021-09-01,141.5
2021-08-01,151.83
2021-07-01,145.86
2021-06-01,136.96
2021-05-01,124.61
2021-04-01,131.46
2021-03-01,122.15
2021-02-01,121.26
2021-01-01,131.96
2020-12-01,132.69
2020-11-01,119.05
2020-10-01,108.86
2020-09-01,115.81
2020-08-01,129.04
2020-07-01,106.26
2020-06-01,91.2
2020-05-01,79.49
2020-04-01,73.45
2020-03-01,63.57
2020-02-01,68.34
2020-01-01,77.38
2019-12-01,73.41
2019-11-01,66.81
2019-10-01,62.19
2019-09-01,55.99
2019-08-01,52.19
2019-07-01,53.26
2019-06-01,49.48
2019-05-01,43.77
2019-04-01,50.17
2019-03-01,47.49
2019-02-01,43.29
2019-01-01,41.61
2018-12-01,39.44
2018-11-01,44.65
2018-10-01,54.72
2018-09-01,56.44
2018-08-01,56.91
2018-07-01,47.57
2018-06-01,46.28
2018-05-01,46.72
2018-04-01,41.31
2018-03-01,41.94
2018-02-01,44.53
2018-01-01,41.86
2017-12-01,42.31
2017-11-01,42.96
2017-10-01,42.26
2017-09-01,38.53
2017-08-01,41.0
2017-07-01,37.18
2017-06-01,36.01
2017-05-01,38.19
2017-04-01,35.91
2017-03-01,35.92
2017-02-01,34.25
2017-01-01,30.34
2016-12-01,28.95
2016-11-01,27.63
2016-10-01,28.39
2016-09-01,28.26
2016-08-01,26.52
2016-07-01,26.05
2016-06-01,23.9
2016-05-01,24.97
2016-04-01,23.43
2016-03-01,27.25
2016-02-01,24.17
2016-01-01,24.33
2015-12-01,26.32
2015-11-01,29.58
2015-10-01,29.88
2015-09-01,27.58
2015-08-01,28.19
2015-07-01,30.33
2015-06-01,31.36
2015-05-01,32.57
2015-04-01,31.29
2015-03-01,31.11
2015-02-01,32.12
2015-01-01,29.29
2014-12-01,27.59
2014-11-01,29.73
2014-10-01,27.0
2014-09-01,25.19
2014-08-01,25.63
2014-07-01,23.9
2014-06-01,23.23
2014-05-01,22.61
2014-04-01,21.07
2014-03-01,19.17
2014-02-01,18.79
2014-01-01,17.88
2013-12-01,20.04
2013-11-01,19.86
2013-10-01,18.67
2013-09-01,17.03
2013-08-01,17.4
2013-07-01,16.16
2013-06-01,14.16
2013-05-01,16.06
2013-04-01,15.81
2013-03-01,15.81
2013-02-01,15.76
2013-01-01,16.27
2012-12-01,19.01
2012-11-01,20.9
2012-10-01,21.26
2012-09-01,23.83
2012-08-01,23.76
2012-07-01,21.81
2012-06-01,20.86
2012-05-01,20.63
2012-04-01,20.86
2012-03-01,21.41
2012-02-01,19.37
2012-01-01,16.3
2011-12-01,14.46
2011-11-01,13.65
2011-10-01,14.46
2011-09-01,13.62
2011-08-01,13.74
2011-07-01,13.95
2011-06-01,11.99
2011-05-01,12.42
2011-04-01,12.5
2011-03-01,12.45
2011-02-01,12.61
2011-01-01,12.12
2010-12-01,11.52
2010-11-01,11.11
2010-10-01,10.75
2010-09-01,10.13
2010-08-01,8.68
2010-07-01,9.19
2010-06-01,8.98
2010-05-01,9.17
2010-04-01,9.32
2010-03-01,8.39
2010-02-01,7.31
2010-01-01,6.86
2009-12-01,7.53
2009-11-01,7.14
2009-10-01,6.73
2009-09-01,6.62
2009-08-01,6.01
2009-07-01,5.84
2009-06-01,5.09
2009-05-01,4.85
2009-04-01,4.49
2009-03-01,3.75
2009-02-01,3.19
2009-01-01,3.22
2008-12-01,3.05
2008-11-01,3.31
2008-10-01,3.84
2008-09-01,4.06
2008-08-01,6.05
2008-07-01,5.68
2008-06-01,5.98
2008-05-01,6.74
2008-04-01,6.21
2008-03-01,5.12
2008-02-01,4.46
2008-01-01,4.83
2007-12-01,7.07
2007-11-01,6.51
2007-10-01,6.78
2007-09-01,5.48
2007-08-01,4.95
2007-07-01,4.71
2007-06-01,4.36
2007-05-01,4.33
2007-04-01,3.56
2007-03-01,3.32
2007-02-01,3.02
2007-01-01,3.06
2006-12-01,3.03
2006-11-01,3.27
2006-10-01,2.9
2006-09-01,2.75
2006-08-01,2.42
2006-07-01,2.43
2006-06-01,2.05
2006-05-01,2.13
2006-04-01,2.51
2006-03-01,2.24
2006-02-01,2.45
2006-01-01,2.7
2005-12-01,2.57
2005-11-01,2.42
2005-10-01,2.06
2005-09-01,1.91
2005-08-01,1.67
2005-07-01,1.52
2005-06-01,1.31
2005-05-01,1.42
2005-04-01,1.29
2005-03-01,1.49
2005-02-01,1.6
2005-01-01,1.37
2004-12-01,1.15
2004-11-01,1.2
2004-10-01,0.94
2004-09-01,0.69
2004-08-01,0.62
2004-07-01,0.58
2004-06-01,0.58
2004-05-01,0.5
2004-04-01,0.46
2004-03-01,0.48
2004-02-01,0.43
2004-01-01,0.4
2003-12-01,0.38
2003-11-01,0.37
2003-10-01,0.41
2003-09-01,0.37
2003-08-01,0.4
2003-07-01,0.38
2003-06-01,0.34
2003-05-01,0.32
2003-04-01,0.25
2003-03-01,0.25
2003-02-01,0.27
2003-01-01,0.26
2002-12-01,0.26
2002-11-01,0.28
2002-10-01,0.29
2002-09-01,0.26
2002-08-01,0.26
2002-07-01,0.27
2002-06-01,0.32
2002-05-01,0.42
2002-04-01,0.43
2002-03-01,0.42
2002-02-01,0.39
2002-01-01,0.44
2001-12-01,0.39
2001-11-01,0.38
2001-10-01,0.31
2001-09-01,0.28
2001-08-01,0.33
2001-07-01,0.34
2001-06-01,0.42
2001-05-01,0.36
2001-04-01,0.46
2001-03-01,0.39
2001-02-01,0.33
2001-01-01,0.39
2000-12-01,0.27
2000-11-01,0.29
2000-10-01,0.35
2000-09-01,0.46
2000-08-01,1.09
2000-07-01,0.91
2000-06-01,0.94
2000-05-01,0.75
2000-04-01,1.11
2000-03-01,1.21
2000-02-01,1.02
2000-01-01,0.93
