date,close
2025-11-01,496.92
2025-10-01,517.81
2025-09-01,517.95
2025-08-01,506.69
2025-07-01,533.5
2025-06-01,497.41
2025-05-01,460.36
2025-04-01,395.26
2025-03-01,375.39
2025-02-01,396.99
2025-01-01,415.06
2024-12-01,421.5
2024-11-01,423.46
2024-10-01,406.35
2024-09-01,430.3
2024-08-01,417.14
2024-07-01,418.35
2024-06-01,446.95
2024-05-01,415.13
2024-04-01,389.33
2024-03-01,420.72
2024-02-01,413.64
2024-01-01,397.58
2023-12-01,376.04
2023-11-01,378.91
2023-10-01,338.11
2023-09-01,315.75
2023-08-01,327.76
2023-07-01,335.92
2023-06-01,340.54
2023-05-01,328.39
2023-04-01,307.26
2023-03-01,288.3
2023-02-01,249.42
2023-01-01,247.81
2022-12-01,239.82
2022-11-01,255.14
2022-10-01,232.13
2022-09-01,232.9
2022-08-01,261.47
2022-07-01,280.74
2022-06-01,256.83
2022-05-01,271.87
2022-04-01,277.52
2022-03-01,308.31
2022-02-01,298.79
2022-01-01,310.98
2021-12-01,336.32
2021-11-01,330.59
2021-10-01,331.62
2021-09-01,281.92
2021-08-01,301.88
2021-07-01,284.91
2021-06-01,270.9
2021-05-01,249.68
2021-04-01,252.18
2021-03-01,235.77
2021-02-01,232.38
2021-01-01,231.96
2020-12-01,222.42
2020-11-01,214.07
2020-10-01,202.47
2020-09-01,210.33
2020-08-01,225.53
2020-07-01,205.01
2020-06-01,203.51
2020-05-01,183.25
2020-04-01,179.21
2020-03-01,157.71
2020-02-01,162.01
2020-01-01,170.23
2019-12-01,157.7
2019-11-01,151.38
2019-10-01,143.37
2019-09-01,139.03
2019-08-01,137.86
2019-07-01,136.27
2019-06-01,133.96
2019-05-01,123.68
2019-04-01,130.6
2019-03-01,117.94
2019-02-01,112.03
2019-01-01,104.43
2018-12-01,101.57
2018-11-01,110.89
2018-10-01,106.81
2018-09-01,114.37
2018-08-01,112.33
2018-07-01,106.08
2018-06-01,98.61
2018-05-01,98.84
2018-04-01,93.52
2018-03-01,91.27
2018-02-01,93.77
2018-01-01,95.01
2017-12-01,85.54
2017-11-01,84.17
2017-10-01,83.18
2017-09-01,74.49
2017-08-01,74.77
2017-07-01,72.7
2017-06-01,68.93
2017-05-01,69.84
2017-04-01,68.46
2017-03-01,65.86
2017-02-01,63.98
2017-01-01,64.65
2016-12-01,62.14
2016-11-01,60.26
2016-10-01,59.92
2016-09-01,57.6
2016-08-01,57.46
2016-07-01,56.68
2016-06-01,51.17
2016-05-01,53.0
2016-04-01,49.87
2016-03-01,55.23
2016-02-01,50.88
2016-01-01,55.09
2015-12-01,55.48
2015-11-01,54.35
2015-10-01,52.64
2015-09-01,44.26
2015-08-01,43.52
2015-07-01,46.7
2015-06-01,44.15
2015-05-01,46.86
2015-04-01,48.64
2015-03-01,40.66
2015-02-01,43.85
2015-01-01,40.4
2014-12-01,46.45
2014-11-01,47.81
2014-10-01,46.95
2014-09-01,46.36
2014-08-01,45.43
2014-07-01,43.16
2014-06-01,41.7
2014-05-01,40.94
2014-04-01,40.4
2014-03-01,40.99
2014-02-01,38.31
2014-01-01,37.84
2013-12-01,37.41
2013-11-01,38.13
2013-10-01,35.41
2013-09-01,33.28
2013-08-01,33.4
2013-07-01,31.84
2013-06-01,34.55
2013-05-01,34.9
2013-04-01,33.1
2013-03-01,28.61
2013-02-01,27.8
2013-01-01,27.45
2012-12-01,26.71
2012-11-01,26.61
2012-10-01,28.54
2012-09-01,29.76
2012-08-01,30.82
2012-07-01,29.47
2012-06-01,30.59
2012-05-01,29.19
2012-04-01,32.02
2012-03-01,32.26
2012-02-01,31.74
2012-01-01,29.53
2011-12-01,25.96
2011-11-01,25.58
2011-10-01,26.63
2011-09-01,24.89
2011-08-01,26.6
2011-07-01,27.4
2011-06-01,26.0
2011-05-01,25.01
2011-04-01,25.92
2011-03-01,25.39
2011-02-01,26.58
2011-01-01,27.73
2010-12-01,27.91
2010-11-01,25.26
2010-10-01,26.66
2010-09-01,24.49
2010-08-01,23.46
2010-07-01,25.81
2010-06-01,23.01
2010-05-01,25.8
2010-04-01,30.54
2010-03-01,29.29
2010-02-01,28.67
2010-01-01,28.18
2009-12-01,30.48
2009-11-01,29.41
2009-10-01,27.73
2009-09-01,25.72
2009-08-01,24.65
2009-07-01,23.52
2009-06-01,23.77
2009-05-01,20.89
2009-04-01,20.26
2009-03-01,18.37
2009-02-01,16.15
2009-01-01,17.1
2008-12-01,19.44
2008-11-01,20.22
2008-10-01,22.33
2008-09-01,26.69
2008-08-01,27.29
2008-07-01,25.72
2008-06-01,27.51
2008-05-01,28.32
2008-04-01,28.52
2008-03-01,28.38
2008-02-01,27.2
2008-01-01,32.6
2007-12-01,35.6
2007-11-01,33.6
2007-10-01,36.81
2007-09-01,29.46
2007-08-01,28.73
2007-07-01,28.99
2007-06-01,29.47
2007-05-01,30.69
2007-04-01,29.94
2007-03-01,27.87
2007-02-01,28.17
2007-01-01,30.86
2006-12-01,29.86
2006-11-01,29.36
2006-10-01,28.71
2006-09-01,27.35
2006-08-01,25.7
2006-07-01,24.06
2006-06-01,23.3
2006-05-01,22.65
2006-04-01,24.15
2006-03-01,27.21
2006-02-01,26.87
2006-01-01,28.15
2005-12-01,26.15
2005-11-01,27.68
2005-10-01,25.7
2005-09-01,25.73
2005-08-01,27.38
2005-07-01,25.61
2005-06-01,24.84
2005-05-01,25.8
2005-04-01,25.3
2005-03-01,24.17
2005-02-01,25.16
2005-01-01,26.28
2004-12-01,26.72
2004-11-01,26.81
2004-10-01,27.97
2004-09-01,27.65
2004-08-01,27.3
2004-07-01,28.49
2004-06-01,28.56
2004-05-01,26.23
2004-04-01,26.13
2004-03-01,24.93
2004-02-01,26.53
2004-01-01,27.65
2003-12-01,27.37
2003-11-01,25.71
2003-10-01,26.14
2003-09-01,27.8
2003-08-01,26.52
2003-07-01,26.41
2003-06-01,25.64
2003-05-01,24.61
2003-04-01,25.56
2003-03-01,24.21
2003-02-01,23.7
2003-01-01,23.73
2002-12-01,25.85
2002-11-01,28.84
2002-10-01,26.73
2002-09-01,21.87
2002-08-01,24.54
2002-07-01,23.99
2002-06-01,27.35
2002-05-01,25.45
2002-04-01,26.13
2002-03-01,30.16
2002-02-01,29.17
2002-01-01,31.86
2001-12-01,33.12
2001-11-01,32.1
2001-10-01,29.07
2001-09-01,25.59
2001-08-01,28.52
2001-07-01,33.09
2001-06-01,36.5
2001-05-01,34.59
2001-04-01,33.88
2001-03-01,27.34
2001-02-01,29.5
2001-01-01,30.53
2000-12-01,21.69
2000-11-01,28.69
2000-10-01,34.44
2000-09-01,30.16
2000-08-01,34.91
2000-07-01,34.91
2000-06-01,40.0
2000-05-01,31.28
2000-04-01,34.88
2000-03-01,53.12
2000-02-01,44.69
2000-01-01,48.94
